t_sim,t_wall,phase,s0_deg,s1_deg,prism_m,gripper_state,robot_x,robot_y,obj_x,obj_y,obj_z
28.850,3.718,1. Start: simulation and gri,0.000,0.000,0.00067,0,0.0398,0.0425,,,
30.750,4.064,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0399,0.0428,,,
32.400,4.365,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0399,0.0431,,,
33.300,4.536,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0400,0.0432,,,
34.100,4.695,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0400,0.0434,,,
35.000,4.876,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0401,0.0435,,,
36.000,5.067,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0401,0.0437,,,
37.050,5.250,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0402,0.0439,,,
38.200,5.457,2. Decision: use the gripper,0.000,0.000,0.00100,1,0.0403,0.0441,,,
50.000,7.552,2. Decision: use the gripper,30.000,0.000,-0.00051,1,0.0409,0.0461,,,
50.750,7.714,2. Decision: use the gripper,30.000,0.000,-0.00851,1,0.0409,0.0462,,,
51.300,7.824,2. Decision: use the gripper,30.000,0.000,-0.01351,1,0.0409,0.0463,,,
51.950,7.941,2. Decision: use the gripper,30.000,0.000,-0.02001,1,0.0410,0.0464,,,
52.550,8.063,2. Decision: use the gripper,30.000,0.000,-0.02299,2,0.0410,0.0465,,,
53.650,8.269,2. Decision: use the gripper,-35.000,20.000,-0.02288,2,0.0412,0.0467,,,
54.300,8.397,2. Decision: use the gripper,-20.000,59.750,-0.02287,2,0.0411,0.0469,,,
54.850,8.496,2. Decision: use the gripper,0.000,24.987,-0.02279,2,0.0415,0.0470,,,
55.600,8.639,2. Decision: use the gripper,0.000,0.000,-0.02279,2,0.0412,0.0471,,,
56.250,8.768,2. Decision: use the gripper,0.000,0.000,-0.01779,2,0.0413,0.0472,,,
57.050,8.906,2. Decision: use the gripper,0.000,0.000,-0.00979,2,0.0413,0.0473,,,
57.700,9.022,2. Decision: use the gripper,0.000,0.000,-0.00379,2,0.0413,0.0474,,,
58.300,9.148,2. Decision: use the gripper,0.000,0.000,0.00100,1,0.0414,0.0475,,,
60.200,9.534,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0371,0.0479,,,
61.200,9.713,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0194,0.0478,,,
61.750,9.835,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0150,0.0479,,,
62.800,10.009,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0151,0.0480,,,
63.350,10.113,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0151,0.0481,,,
64.700,10.384,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0152,0.0484,,,
